content,data
가을가을🍂🍂..#부여카페 #한옥카페 #무드빌리지#뱅쇼에이드🍷#연유티라미수라떼#주말데이트 #서프라이즈선물 #갤럭시워치4 #내남친최고👍🏻#잘쓸께요 #행복햄 💕 #고마워요❤️,2021-10-24
갬성 폭팔  용산청파점#용산청파점#세븐일레븐#행복햄,2021-10-22
"단대 호수를 갔다 왔다. 단대 호수를 한눈에 다 볼 수 있는 곳이 있다는 지인의 말을 믿고 계단을 오르는데 '여기에 뭐가 있을까?'라는 의문이 들기 시작할 때쯤 도착했고, 뒤를 돌아보는 순간 잔잔한 감동이 밀려들어오며 '우와'한 풍경이었다.  삶이 그랬으면 좋겠다. 매번 의심도 되고 걱정도 되고 겁도 나고 의문 가득하지만, 나를 믿고 주변을 믿고 나아가며 도달한 그곳은 아름답길. 그 걸음이 헛되지 않길 바란다. 삶이 매번 아름다울 수도, 힘들 수도 없지 않을까 싶다. 힘든 일이 있어야 자그마한 행복도 온전히 행복할 수 있고, 아름다운 일이 있어야 힘든 일을 견뎌낼 수 있다고 생각한다. 그렇게 시련을 시련이 아닌 행복을 위한 에피타이저로 여기고 싶다고 생각하고 다짐한 오늘 밤이다.#우왕#단대호수#밤에도#예쁘다#행복햄#실물이100배이쁨#남은시험과제도화이팅#photo_jjong",2021-10-21
3년❤️ #결혼조하#행복햄,2021-10-21
치즈먹다 한바탕 눈물바다로 난리나고 결국 난 머리를 잡혔지................ 괜찮아 딸 엄마 머리카락 만지작거리면서 너만 기분이 좋아졌으면 나는 #행복햄 #아마도 🥲🙄#우리애기신났네❤️,2021-10-21
🖤🎂,2021-10-20
#생일애정어린 축하 많이 해주셔서 감사합니다.덕분에 오늘 정말 많이 행복했어요❤#행복햄#제가더잘할께요😆#HBD,2021-10-18
쌩얼은 최대한 가리기ㅎ😶‍🌫️#캠핑 #행복햄,2021-10-17
Good times with my favs💖💖#롯데월드 #교복#롯데월드교복 #롯데월드할로윈 #놀이공원#readingweek #힐링 #소중햄 #행복햄 #alltimefavorite #soulmate #ocad #종강줘,2021-10-15
오늘나의시작은아바라와함께.....#올만에#아바라인듯#맛있쪄#행복햄#내사랑아바라 #아바라🥤 #아바라덕후#아바라사랑#카페사랑#커피수혈그램 #요즘갱년기#요즘아푸닷#요즘우울#아바라먹고#행복한나#어쩔거니어쩔거니#기운내자그램🌈,2021-10-14
21.10.11진안 2박 3일 캠핑🏕베스트 1 불멍과 함께한 스모어쿠키베스트 2 그리고 군고구마 베스트 2 착착 진행된 우중 철수...🤣어렸을때 엄마아빠랑 캠핑 다닌 기억이 있는데생각해보니 엄마아빠가 재밌어서 많이 다니셨던 것 같다지금 내가 그렇듯이.. 😁😁😁물론 삼형제 덕분에 틈틈이 현타가 오지만여보가 중심을 잘 잡아줘서 참 다행이고 고마워...ㅎ앞으로도 잘 부탁해..✨✨💛..#현형제네캠핑#불멍 #가을캠핑 #옴뇸뇸#행복햄 #💓,2021-10-12
21.10.12태어난지168일붕붕이생겨서 신난 준이 아주 그냥 밥도안먹어 ㅠㅠ....#태어난지5개월❤️ #태어난지5개월14일 #태어난지168일 #생후5개월 #5개월아기 #아이신나 #붕붕이 #보행기 #밥도 #안먹고 #노는중 #신난다 #육아일기 #육아스타그램 #육아 #아들랑구 #아들스타그램 #아들 #아들바보 #아들맘 #행복햄,2021-10-12
